time,left_wrist_x,left_wrist_y,left_wrist_z,right_wrist_x,right_wrist_y,right_wrist_z
0,0.108213,0.158919,-0.214198,0.157783,-0.27319,-0.054868
0.02,0.108333,0.15905,-0.214133,0.157828,-0.273153,-0.054908
0.04,0.108449,0.159187,-0.214138,0.157877,-0.273165,-0.054817
0.06,0.10865,0.159277,-0.214121,0.157857,-0.273161,-0.05478
0.08,0.108757,0.159349,-0.214137,0.157814,-0.27321,-0.054705
0.1,0.108895,0.159347,-0.214099,0.157777,-0.27323,-0.054675
0.12,0.108959,0.159377,-0.214114,0.157736,-0.273298,-0.054572
0.14,0.109028,0.159342,-0.214103,0.15766,-0.273373,-0.054496
0.16,0.109067,0.159345,-0.214113,0.157703,-0.273399,-0.054437
0.18,0.109164,0.159323,-0.214102,0.157665,-0.273467,-0.054398
0.2,0.109159,0.159315,-0.214105,0.157646,-0.273472,-0.054384
0.22,0.109172,0.159276,-0.214099,0.157604,-0.273506,-0.054366
0.24,0.109103,0.159257,-0.214133,0.157623,-0.273471,-0.054351
0.26,0.109052,0.159279,-0.214044,0.157636,-0.273466,-0.054397
0.28,0.108897,0.159329,-0.213928,0.157653,-0.273449,-0.054368
0.3,0.108861,0.159404,-0.213788,0.157654,-0.273498,-0.054379
0.32,0.108748,0.159494,-0.213752,0.157569,-0.273498,-0.054426
0.34,0.108866,0.159682,-0.213653,0.157499,-0.273517,-0.054433